ARTO
  02001764 RTW_WS-IconTarget

COBJ
  02000815 co_weap_BOE
  0200175C co_weap_CombatKnife-throwing
  02000809 co_weap_DCtomahawk-throwing
  02005B50 co_weap_Fork-throwing
  02000814 co_weap_FSS
  02005B46 co_weap_Hatchet-throwing
  0200175B co_weap_RaiderHatchet-throwing
  02005B47 co_weap_Saw-throwing
  0200080B co_weap_ShivKnife-throwing
  0200D316 co_weap_Shoe-throwing
  02001788 co_weap_Shuriken01-throwing
  020017A3 co_weap_Shuriken02-throwing
  020017A4 co_weap_Shuriken03-throwing
  020017A6 co_weap_Shuriken04-throwing
  0200178E co_weap_Stiletto-throwing
  0200D325 co_weap_Stiletto-throwingDUPLICATE000
  02005B45 co_weap_StilettoShiv-throwing
  0200D326 co_weap_StilettoShoe-throwing
  0200175A co_weap_Switchblade-throwing
  0200D333 co_weap_Wakisashi-throwing
  0200080A co_weap_WrenchKnife-throwing
  02001763 RTW_workshop_co_Targets

ENCH
  0200177A BOE_RetrievalENCH
  02000FB4 DCT_RetrievalENCH
  0200D315 ench_StaggeringShoe
  02001779 FSS_RetrievalENCH
  02005B44 Saw_RetrievalENCH
  02001789 SHK01_RetrievalENCH
  020017A0 SHK02_RetrievalENCH
  020017A1 SHK03_RetrievalENCH
  020017A2 SHK04_RetrievalENCH
  02005B4F TF01_RetrievalENCH
  0200177B TH01_RetrievalENCH
  02005B42 TH02_RetrievalENCH
  02001775 TK01_RetrievalENCH
  02001776 TK02_RetrievalENCH
  02001777 TK03_RetrievalENCH
  02001778 TK04_RetrievalENCH
  0200178D TK05_RetrievalENCH
  02005B43 TK06_RetrievalENCH
  0200D324 TK07_RetrievalENCH
  0200D327 TS02_RetrievalENCH
  0200D332 TW01_RetrievalENCH

EXPL
  02000816 BOE_Expl
  02000802 DCT_Expl
  02000811 FSS_Expl
  02005B3F Saw_Expl
  02001786 SHK01_Expl
  0200179D SHK02_Expl
  0200179E SHK03_Expl
  0200179F SHK04_Expl
  02005B4E TF01_Expl
  02001757 TH01_Expl
  02005B41 TH02_Expl
